T133,D72,D73
T134,D73,M65
T135,D68,M85
T136,D69,D70
T137,D70,M36
T138,D69,D74
T139,D74,M12
T140,D74,M13
T141,D74,D75
T142,D75,D77
T143,D77,M15
T144,D77,M14
T145,D77,D78
T146,D75,D76
T147,D76,M55
T148,D78,D79
T149,D79,D80
T150,D79,M16
T151,D80,D80
T152,D80,D85
T153,D85,D86
T154,D85,M95
T155,D86,D87
T156,D87,M48
T157,D80,D81
T158,D81,M82
T159,D81,D81
T160,D81,M73
T161,D81,D82
T162,D82,D83
T163,D83,M18
T164,D83,D84
T166,D88,M81
T167,D88,D89
T168,D86,D88
T169,D89,D90
T170,D90,D90
T171,D90,M75
T172,D90,M54
T173,D88,M51
T174,D84,D91
T175,D91,M32
T176,D91,M33
T177,D91,D92
T178,D92,D93
T179,D93,M34
T180,D93,M35
T181,D53,D94
T182,D94,D95
T183,D95,M22
T184,D95,M84
T185,D95,D96
T186,D96,D97
T187,D97,D97
T188,D97,M53
T189,D97,D98
T190,D98,D99
T191,D99,D99
T192,D99,D100
T193,D99,M30
T194,D99,M49
T195,D100,D101
T196,D101,D102
T197,D102,M29
T198,D102,M31
T199,D102,D103
T200,D103,D104
T201,D104,M59
T202,D101,D105
T203,D105,D106
T204,D105,M28
T205,D106,D107
T206,D107,M38
T207,D107,D107
T208,D107,M67
T209,D106,D108
T210,D108,D109
T211,D109,D110
T212,D109,M66
T213,D110,D111
T214,D111,M39
T215,D111,M74
T216,D111,D112
T217,D112,D113
T218,D113,D113
T219,D113,M37
T220,D110,D114
T221,D114,D118
T222,D118,M64
T223,D114,D115
T224,D115,M87
T225,D115,D116
T226,D116,D117
T227,D117,M86
T228,D114,D119
T229,D119,M6
T230,D119,M4
T231,D119,D120
T232,D120,D121
T233,D121,M7
T234,D121,M5
T235,D121,D122
T236,D122,D123
T237,D123,M50
R0,0,0
